"Vgs=1V",,"Vgs=2V",,"Vgs=4V",,"Vgs=8V",
"Vds(V)","Id(microA)","Vds(V)","Id(mA)","Vds(V)","Id(mA)","Vds(V)","Id(mA)"
"0,1","0,00","0,3","0,04","0,6","0,76","1,5","5,4"
"0,2","0,00","0,6","0,05","1,2","1,23","3,0","8,4"
"0,3","0,00","0,9","0,05","1,8","1,48","4,5","9,1"
"0,4","0,00","1,2","0,05","2,4","1,49","6,0","9,2"
"0,5","0,00","1,5","0,05","3,0","1,49","7,5","9,25"
"1,0","0,00","2,0","0,05","3,6","1,5","8,0","9,25"
"2,0","0,00","3,0","0,05","4,0","1,53","9,0","9,25"
"3,0","0,00","4,0","0,05","5,0","1,55","10,0","9,25"
"4,0","0,00","5,0","0,05","6,0","1,57",,
"5,0","0,1","6,0","0,05","7,0","1,58",,
"6,0","0,1","7,0","0,05","8,0","1,58",,
"7,0","0,1","8,0","0,05","9,0","1,59",,
"8,0","0,1","9,0","0,05","10,0","1,6",,
"9,0","0,1","10,0","0,06",,,,
"10,0","0,1",,,,,,
